Slang,Example,Informal_Text_Without_Slang
z's,"I'm totally drained today, need to catch some Z's.","I'm really tired today, I think I need some rest."
drained,"I'm hella drained today, just wanna chill at home.","I'm really tired today, I just want to relax at home."
hype,I'm so hype for the concert tonight.,I'm really excited for the concert tonight.
caffeine,"I'm so drained today, I gotta get me some caffeine.","I'm really tired today, I think I need some coffee."
"hyped, turned up","I'm so hyped for the weekend, can't wait to turn up!",I'm really looking forward to the weekend.
"tired, chill",I'm mad tired today and just wanna chill at home.,I'm really tired today and just want to relax at home.
vibing,I'm just vibing with the squad tonight.,I'm just hanging out with my friends tonight.
tryna,"I'm tryna hit up some coffee before I clock in, fr.",I'm going to grab some coffee before work.
lit,"Yo, peep the new flick last night? It was lit.","Hey, did you see the new movie last night? It was really good."
chillin',"Just vibing at home, Netflix and chillin'.",I'm just chilling at home and watching some TV.
finna,I'm just finna get some coffee and then slide to class.,I'm just going to grab some coffee and then head to class.
tiered,I'm mad tired today 'cause I slept like zero.,I'm feeling really tired today because I didn't sleep well.
hella,I'm hella tired today but still gotta grind through my tasks.,I'm really tired today but I still have a lot of work to do.
"deadass, tryna, sus",I'm deadass exhausted today and not tryna do anything sus.,I'm just really tired today and don't want to do anything complicated.
wiped,"I'm totally wiped after a long day at work, fr.",I'm really exhausted after a long day at work.
chill,"Yo, you down to chill later?","Hey, are you free to hang out later?"
hyped,I'm hyped for the concert tonight.,I'm really excited about the concert tonight.
sliding,"Yo, you sliding to the party tonight?","Hey, are you coming to the party tonight?"
drained,"I'm so drained today, barely slept tbh.",I'm really tired today because I didn't sleep well.
hyped,I'm super hyped for the concert this weekend.,I'm really excited about the concert this weekend.
chillin,I'm just chillin' with my friends at the mall.,I'm just hanging out with my friends at the mall.
cop,I'm just sliding to the store to cop some snacks.,I'm just heading to the store to grab some snacks.
vibing,"I'm just gonna vibing at home, bingeing some flicks.",I'm just going to chill at home and watch some movies.
vibing,I'm just vibing at home today.,I'm just going to chill at home today.
woke,"I'm dead tired today, need some coffee to stay woke.","I'm really tired today, I think I need some coffee."
drained,I'm super drained today and just wanna chill at home.,I'm really tired today and just want to relax at home.
"lowkey, drained, pop off",I'm lowkey drained today and not tryna pop off outside.,I'm just really tired today and not feeling up to going out.
"drained, Z's",I'm hella drained 'cause I didn't catch enough Z's.,I'm just really tired today because I didn’t sleep well.
drained,I'm super drained after all that at work today.,I'm really tired after a long day at work.
dropped,"Yo, did you peep the new flick that dropped?","Hey, did you see the new movie that just came out?"
"drained, imma, vibe","I'm super drained today, imma just chill at home and  vibe.","I'm really tired today, I think I'll just stay home and relax."
gotta,I'm super exhausted today but I gotta hit up work.,I'm really tired today but I have to go to work.
vibing,"Yo, what’s good? How you vibing today?","Hey, how are you doing today?"
vibing,I'm just vibing with my squad at the park.,I'm just hanging out with my friends at the park.
"tired, Z's",I'm mad tired today 'cause I didn't catch enough Z's last night.,I'm really tired today because I didn't sleep well last night.
tired,"I'm mad tired today 'cause I didn't sleep enough, fr.",I'm feeling really tired today because I didn't get enough sleep.
beat,"I'm so beat today, I need a coffee boost.","I'm really tired today, I think I need a coffee."
toss,"Yo, wanna toss back a coffee later?","Hey, do you want to grab coffee later?"
chill,It's mad chill to catch you today.,It's really nice to see you today.
yeet,I'm down bad but gotta yeet to work anyway.,I'm just really tired today but I still have to go to work.
lowkey,"I'm so exhausted today, lowkey just tryna chill at home.","I'm really tired today, I might just stay home and relax."
tiered,I'm mad tired today ’cause I didn’t catch enough Z’s.,I'm just really tired today because I didn't get enough sleep.
hot,"Yo, it's mad hot out today.",It's really hot outside today.
drained,"I'm totally drained after a long day at work, fr.",I'm feeling really tired after a long day at work.
hot,"It's mad hot today, I can't even go outside, fr.","It's really hot today, I don't want to go outside."
"""hella""",I'm hella drained today.,I'm feeling really tired today.
vibing,I'm so drained today but gotta vibe through this homework.,I'm really tired today but I have to finish my homework.
"exhausted, binge-watching",I'm hella exhausted 'cause I was up all night binge-watching movies.,I'm really tired today because I stayed up late watching movies.
no (Z's),I'm dead tired 'cause I caught no Z's last night.,I'm really tired because I didn't get enough sleep last night.
"exhausted, chill","I'm totally exhausted today, gonna just chill at my place.","I'm really tired today, I think I'll just relax at home."
"wiped, tryna","I'm super wiped today, just tryna chill.","I'm really tired today, I just want to relax."
"drained (from ""I'm so drained"")","I'm so drained today, fr fr.",I'm feeling really tired today.
"chillin, mad",Chillin' at home after a mad busy day.,I'm just relaxing at home after a long day.
drained,I'm so drained today 'cause I pulled an all-nighter last night.,I'm really tired today because I stayed up late last night.
"fire, vibe","That flick was fire, I was vibing with it big time.","That movie was really good, I enjoyed it a lot."
wanna,"Yo, wanna catch some coffee later?","Hey, do you want to grab some coffee later?"
"peep, lit, flick, fire","Yo, did you peep that lit new flick last night? It was fire.","Hey, did you see that new movie last night? It was really good."
"drained, lowkey","I'm mad drained today, lowkey need my caffeine fix.",I'm just really tired today and need some coffee.
"drained (from ""I'm so drained"")","I'm so drained after such a long day, fr fr.",I'm totally exhausted after that long day.
chillin,I'm just chillin' with my squad tonight.,I'm just going to hang out with my friends tonight.
hyped,I'm super hyped for the concert tonight!,I'm really excited for the concert tonight!
maxing,I'm just maxing at home tonight.,I'm just going to chill at home tonight.
"finna, yolo","I'm finna get some coffee, yolo? Do you wanna roll?",I'm going to grab some coffee. Do you want to come?
deadass,"I'm deadass exhausted today, need that caffeine boost real quick.","I'm feeling really tired today, I think I need some coffee."
z's (Z's stands for sleep),"I'm super drained today, I gotta catch some z's.","I'm really tired today, I think I need a nap."
"link, grind","Yo, let's link at the cafe later to grind on some homework.",Let's meet up at the cafe later to study.
"exhausted, gotta",I'm mad exhausted today but gotta grind on my homework.,I'm really tired today but I have to finish my homework.
hyped,"Yo, did u peep the new flick everyone's hyped about?","Hey, did you see the new movie everyone was talking about?"
"chillin', one","Yo, just chillin' at home after a long one.","Hey, I'm just relaxing at home after a long day."
mega,"It's mega hot out today, fr fr.",It's really hot outside today.
grind,Gonna snag some coffee before the grind.,I'm just going to grab some coffee before work.
hyped,I'm super hyped to chill with my crew this weekend.,I'm really excited to hang out with my friends this weekend.
dead (tired as slang for extremely weary),I'm dead tired after grinding all day.,I'm really tired after working all day.
tired,I'm mad sleepy today and I can't be bothered to step out.,I'm just really tired today and I don't want to go out.
chill,Chillin' with my squad tonight.,I'm going out with my friends tonight.
crashed (arvo),"I'm so drained today, all I wanna do is crash all arvo.","I'm really tired today, I just want to nap all afternoon."
chill,"Yo, wanna chill this weekend?","Hey, do you want to hang out this weekend?"
drained,I'm hella drained 'cause I pulled an all-nighter yesterday.,I'm really tired because I stayed up late last night.
"drained, tryna","I'm super drained today, just tryna chill at home.",I'm just really tired today and just want to relax at home.
"drained, gotta (grind)",I'm super drained today but I gotta grind and finish my homework.,I'm really tired today but I still have to finish my homework.
"tired, chill, vibing","I'm hella tired today, might just chill at home and vibing.","I'm really tired today, I think I'll just stay in and relax."
"tired, tryna",I'm mad tired today and not tryna dip out.,I'm just really tired today and don't feel like going out.
veg,"I'm dead tired today, just wanna veg at home.","I'm really tired today, I just want to chill at home."
"""mad""",I'm mad tired today 'cause I pulled an all-nighter hitting the books.,I'm really tired today because I stayed up late studying.
drained,"I'm so drained after this crazy week, fr.",I'm really tired today after a long week.
hella,"I'm hella exhausted today, might just chill at home.","I'm really tired today, I might just relax at home."
vibe,"I'm just heading out to vibe with my friends over some coffee, no cap.",I'm just going out to grab some coffee with my friends.
"chillin', flicks","I'm just chillin' at home tonight, binge-watching some flicks.",I'm just going to relax at home tonight and watch some movies.
"wiped, grinding, kicked","I'm totally wiped after grinding all day, just wanna kick back with some snacks.",I'm really tired after working all day and just want to chill with some snacks.
"chillin, vibing","I'm chillin' at my place, vibing with some shows.",I'm just relaxing at home and watching some TV.
fr,"I'm super exhausted and just wanna chill at home today, fr.",I'm really tired and just want to relax at home today.
vibing,I'm just tryna vibing through the day without any drama.,I'm just trying to get through the day without any problems.
"chillin, Netflix, chill",I'm just chillin' and gonna Netflix and chill tonight.,I'm just going to relax and watch a movie tonight.
down,"Yo, you down to chill later or what?",I'm just asking if you want to hang out later.
"chillin', flicks","I'm just chillin' at home and streaming some flicks, fr.",I'm just going to relax at home and watch some movies.
