normal,gen_z,Slang
"I'm really tired today, I think I need some rest.","I'm totally drained today, need to catch some Z's.",zonked
"I'm really tired today, I just want to relax at home.","I'm hella drained today, just wanna chill at home.",exhausted
I'm really excited for the concert tonight.,I'm so hype for the concert tonight.,pumped
"I'm really tired today, I think I need some coffee.","I'm so drained today, I gotta get me some caffeine.",burnt out need coffee
I'm really looking forward to the weekend.,"I'm so hyped for the weekend, can't wait to turn up!",pumped (up)
I'm really tired today and just want to relax at home.,I'm mad tired today and just wanna chill at home.,"burnt out, wanna kick it at home"
I'm just hanging out with my friends tonight.,I'm just vibing with the squad tonight.,chilling (with friends)
I'm going to grab some coffee before work.,"I'm tryna hit up some coffee before I clock in, fr.",trying to grab some coffee before I punch in
"Hey, did you see the new movie last night? It was really good.","Yo, peep the new flick last night? It was lit.","Fresh, caught it last night? Awesome, it was fire."
I'm just chilling at home and watching some TV.,"Just vibing at home, Netflix and chillin'.",Chillin'
I'm just going to grab some coffee and then head to class.,I'm just finna get some coffee and then slide to class.,gonnahit
I'm feeling really tired today because I didn't sleep well.,I'm mad tired today 'cause I slept like zero.,exhausted
I'm really tired today but I still have a lot of work to do.,I'm hella tired today but still gotta grind through my tasks.,"exhausted, gotta hustle"
I'm just really tired today and don't want to do anything complicated.,I'm deadass exhausted today and not tryna do anything sus.,deadass (extremely)
I'm really exhausted after a long day at work.,"I'm totally wiped after a long day at work, fr.",exhausted (fr = for real)
"Hey, are you free to hang out later?","Yo, you down to chill later?",You down for hangin' out later?
I'm really excited about the concert tonight.,I'm hyped for the concert tonight.,excited
"Hey, are you coming to the party tonight?","Yo, you sliding to the party tonight?","Are you going to the party tonight, man?"
I'm really tired today because I didn't sleep well.,"I'm so drained today, barely slept tbh.",burned out
I'm really excited about the concert this weekend.,I'm super hyped for the concert this weekend.,pumped
I'm just hanging out with my friends at the mall.,I'm just chillin' with my friends at the mall.,Hangin'
I'm just heading to the store to grab some snacks.,I'm just sliding to the store to cop some snacks.,cruising (to buy) some grub
I'm just going to chill at home and watch some movies.,"I'm just gonna vibing at home, bingeing some flicks.","Chilling (at home), watching movies"
I'm just going to chill at home today.,I'm just vibing at home today.,Chillin' (at home)
"I'm really tired today, I think I need some coffee.","I'm dead tired today, need some coffee to stay woke.","burned out, gotta get caffeine"
I'm really tired today and just want to relax at home.,I'm super drained today and just wanna chill at home.,"burnt out, wanna veg at home"
I'm just really tired today and not feeling up to going out.,I'm lowkey drained today and not tryna pop off outside.,"burnt out, not up for it"
I'm just really tired today because I didn’t sleep well.,I'm hella drained 'cause I didn't catch enough Z's.,exhausted
I'm really tired after a long day at work.,I'm super drained after all that at work today.,burnt out
"Hey, did you see the new movie that just came out?","Yo, did you peep the new flick that dropped?",Heard the fresh movie that came out?
"I'm really tired today, I think I'll just stay home and relax.","I'm super drained today, imma just chill at home and  vibe.","burnt out, chillin' at home and vibing"
I'm really tired today but I have to go to work.,I'm super exhausted today but I gotta hit up work.,burnt out gots to grind
"Hey, how are you doing today?","Yo, what’s good? How you vibing today?","Chillin', how ya doin'?"
I'm just hanging out with my friends at the park.,I'm just vibing with my squad at the park.,"Chillin' with the crew at the park. (Slang term: ""Chillin'"" for relaxing, hanging out)"
I'm really tired today because I didn't sleep well last night.,I'm mad tired today 'cause I didn't catch enough Z's last night.,burned (out)
I'm feeling really tired today because I didn't get enough sleep.,"I'm mad tired today 'cause I didn't sleep enough, fr.",exhausted (fr)
"I'm really tired today, I think I need a coffee.","I'm so beat today, I need a coffee boost.",fried (tired and drained)
"Hey, do you want to grab coffee later?","Yo, wanna toss back a coffee later?",Wanna grab a cuppa joe later?
It's really nice to see you today.,It's mad chill to catch you today.,"Chill (informal, describing a relaxed and enjoyable situation)"
I'm just really tired today but I still have to go to work.,I'm down bad but gotta yeet to work anyway.,"gotcha (as a replacement for ""I'm down bad"")"
"I'm really tired today, I might just stay home and relax.","I'm so exhausted today, lowkey just tryna chill at home.","burned out, kickin' it easy at home."
I'm just really tired today because I didn't get enough sleep.,I'm mad tired today ’cause I didn’t catch enough Z’s.,knackered (UK slang for feeling very tired)
It's really hot outside today.,"Yo, it's mad hot out today.",sweltering
I'm feeling really tired after a long day at work.,"I'm totally drained after a long day at work, fr.",burned out
"It's really hot today, I don't want to go outside.","It's mad hot today, I can't even go outside, fr.",sweltering
I'm feeling really tired today.,I'm hella drained today.,exhausted
I'm really tired today but I have to finish my homework.,I'm so drained today but gotta vibe through this homework.,"burnt out, gotta grind on homework"
I'm really tired today because I stayed up late watching movies.,I'm hella exhausted 'cause I was up all night binge-watching movies.,I'm super tired (from being awake all night watching movies).
I'm really tired because I didn't get enough sleep last night.,I'm dead tired 'cause I caught no Z's last night.,burned (out) from no shuteye last night
"I'm really tired today, I think I'll just relax at home.","I'm totally exhausted today, gonna just chill at my place.","burnt out, chillin' at home"
"I'm really tired today, I just want to relax.","I'm super wiped today, just tryna chill.","burned out, chilling"
I'm feeling really tired today.,"I'm so drained today, fr fr.",burned out (today)
I'm just relaxing at home after a long day.,Chillin' at home after a mad busy day.,Chilling (at home) after a hectic day.
I'm really tired today because I stayed up late last night.,I'm so drained today 'cause I pulled an all-nighter last night.,burned out
"That movie was really good, I enjoyed it a lot.","That flick was fire, I was vibing with it big time.",lit (adjective) - used to describe something as very good or impressive.
"Hey, do you want to grab some coffee later?","Yo, wanna catch some coffee later?",Wanna grab a cuppa joe later?
"Hey, did you see that new movie last night? It was really good.","Yo, did you peep that lit new flick last night? It was fire.",Saw that great new movie last night? It was amazing.
I'm just really tired today and need some coffee.,"I'm mad drained today, lowkey need my caffeine fix.","burnt out, low-key craving caffeine"
I'm totally exhausted after that long day.,"I'm so drained after such a long day, fr fr.","burned out, for real"
I'm just going to hang out with my friends tonight.,I'm just chillin' with my squad tonight.,"Chillin' (with my squad) becomes ""Chillin'"" in the refined version, as it retains the original slang term while adhering to the specified guidelines."
I'm really excited for the concert tonight!,I'm super hyped for the concert tonight!,pumped
I'm just going to chill at home tonight.,I'm just maxing at home tonight.,Chillin' at home tonight
I'm going to grab some coffee. Do you want to come?,"I'm finna get some coffee, yolo? Do you wanna roll?",gonna (get) / yolo / wanna roll
"I'm feeling really tired today, I think I need some coffee.","I'm deadass exhausted today, need that caffeine boost real quick.","burnt out, java needed (slang terms are ""deadass"" and ""java"")"
"I'm really tired today, I think I need a nap.","I'm super drained today, I gotta catch some z's.","burnt out, need sleep"
