Slang,Description,Example,Context,Informal_Text_Without_Slang,Popularity
Bop,A song that's really good.,That new track is a bop.,"Typically used among friends or on social media platforms to express enjoyment towards a recently released song, particularly within the millennial and Gen Z demographics, often in casual settings such as parties or gatherings. The sentiment is generally positive and enthusiastic.",That fresh tune is a real humdinger.,Medium
Bounce,To leave or exit.,"I'm bouncing, see you later.","Often employed casually among friends or peers during informal gatherings as a friendly farewell, indicating departure or departure plans. Most commonly used in urban settings and youth cultures, expressing a relaxed tone.","I've got to split, catch you soon.",Medium
Cancelled,Publicly denounced and rejected.,She got cancelled after that post.,"Primarily employed in digital discussions, often among younger demographics, particularly those active on social media platforms. Used to express public rejection or condemnation towards an individual, typically following controversial actions or statements.",She was publicly denounced following that post.,High
Chill,Relaxed or easy-going.,I'm just chilling today.,"Casual setting among friends or peers, often used on weekends or leisure time, expressing a laid-back attitude and a focus on personal relaxation, predominantly among youth demographics.",I'm taking it easy today.,High
Cringe,Embarrassing or awkward.,That video was cringe.,"Typically used by younger generations in casual, digital settings to express discomfort or embarrassment towards a perceived awkward or embarrassing situation or behavior. Commonly seen on social media platforms among peers.",That video was mortifyingly awkward.,High
DM,Direct Message on social media.,I'll DM you the details.,"In modern digital communication, particularly on social media platforms, this phrase is often employed when a user wishes to privately share information or discuss matters away from public view with another user, typically among younger and tech-savvy demographics in casual settings.",Send me a private message with the details.,High
Dope,Cool or excellent.,That jacket is dope.,"Typically utilized among peers during casual conversations to express admiration or appreciation for something, often within a youthful or urban demographic. The sentiment is generally positive and upbeat.",That jacket is quite cool.,High
Flex,To show off or boast.,He's flexing his new phone.,"Typically used in casual social settings to showcase personal possessions or abilities among peers, particularly in youth and urban cultures. May also be employed during online interactions for digital self-presentation.",He's flaunting his fresh mobile device.,High
GOAT,Greatest Of All Time.,Jordan is the GOAT.,"In informal settings, particularly sports discourse, individuals often use it to express admiration for a highly skilled or accomplished athlete. It's prevalent among fans, athletes, and media personnel. Primarily popular in contemporary English-speaking cultures, its usage can be found both online and offline.",Jordan is the greatest of all time.,High
High-Key,Emphatically or openly.,I'm high-key excited for this.,"Often employed among young adults during casual gatherings or online conversations, particularly when expressing enthusiastic anticipation about an upcoming event or situation, reflecting a lively and informal social setting.",I am genuinely thrilled about this.,High
Hype,Intense excitement.,The hype is real.,"This term is frequently utilized among peers during discussions about eagerly anticipated events, such as the release of a new movie or product launch. It's common in informal settings, particularly among younger demographics expressing enthusiasm and anticipation.",The excitement's genuine.,High
Karen,Entitled or demanding woman.,Don't be such a Karen.,"Often employed in casual, online discussions among young adults or millennials, typically when someone is perceived as expressing excessive demands or entitlement, often within social media settings. The sentiment is generally dismissive or mocking due to the perceived arrogance associated with the term.","Don't act so entitled, please.",High
L,Loss or failure.,We took the L on that one.,"This slang term is often used in casual conversations among friends or peers, primarily when discussing failed attempts or losses, usually in competitive settings like sports, gaming, or business, both online and offline. Its usage may vary across diverse age groups but tends to be more prevalent among younger demographics who engage in these activities. The tone can range from light-hearted to reflective, depending on the severity of the loss.",We struck out on that one.,High
Noob,Newbie or beginner.,He's such a noob at this game.,"Often used in digital gaming communities among peers during casual or competitive play, expressing a sense of superiority or frustration based on the perceived skill level difference between players. Demographics typically include young adults and teenagers who frequently engage in online multiplayer games.",He's really new to this game.,Medium
Oof,An expression of sympathy.,"Oof, that must have hurt.","In casual conversations, particularly when empathizing with someone experiencing pain or disappointment, this term is often used by peers and friends across various age groups and cultural backgrounds. It's usually found in informal settings like social gatherings, online chats, or even sports events.",That certainly sounds painful.,High
Periodt,Used to emphasize the end of a statement.,"And that's the truth, periodt.","Typically used among young adults in casual settings to firmly assert a point or emphasize agreement, often online and in urban communities. Emotional sentiment varies from confident to playful, with no clear demographic preference.","And that's the absolute truth, for sure.",High
Receipts,Proof or evidence.,Show me the receipts for your claims.,"Typically utilized in casual conversations, particularly online discussions or debates, to demand evidence supporting assertions. Widely used across various demographics but prevalent among younger generations and internet communities. Tone can range from serious to playful depending on the context.",Hand over the evidence to back up your statements.,High
Shade,Subtle insult.,She's throwing shade at her ex.,"Often utilized in casual conversations among peers or acquaintances, especially during discussions about personal matters or rivalries; frequently found within contemporary urban culture and social media interactions; popular among younger demographics.",She's subtly criticizing her ex.,High
Simp,Someone who does too much for someone they like.,He's such a simp for her.,"Often used in casual, online discussions among young adults or teenagers, particularly on social media platforms, to express frustration or amusement towards someone who excessively complies with another person's demands or expectations.",He really goes out of his way for her.,High
Slaps,Really good.,This beat slaps.,"In informal settings, often among younger demographics, this phrase is commonly used to express enthusiasm or approval, particularly in discussions about music, entertainment, or sports. It is frequently heard in social gatherings, online forums, and digital communication platforms.",This beat rocks hard.,High
Spill,Reveal the truth.,"Spill the tea, what happened?","Often used among peers in casual, intimate settings, such as at home or over digital platforms, to engage in gossip or ask for information about a recent event or secret. It's popular among younger demographics and carries a light-hearted, curious tone.","Dish the dirt, what went down?",High
Stan,Obsessive fan.,I'm a stan for that band.,"Social setting: Online or offline discussions about music preferences, usually among younger generations (millennials and Gen Z). Sentiment/tone is admiration, enthusiasm, or intense devotion towards a particular artist or group.",I'm truly devoted to that band.,High
Sus,Suspicious or questionable.,That sounds sus to me.,"Typically used among peers in casual conversations, often online or in youth culture settings, to express doubt or suspicion regarding a situation or someone's actions.",That seems fishy to me.,High
Thirsty,Desperate for attention or affection.,He's so thirsty for likes.,"In contemporary digital culture, particularly social media platforms, people use the term to describe someone eagerly seeking validation or attention. This slang is commonly utilized among younger demographics, especially in informal settings.",He's really craving attention.,High
Vibes,Good energy.,I'm loving the vibes here.,"Frequently employed among peers during social gatherings or group activities, especially those centered around leisure and relaxation, to express a sense of positivity and enjoyment. Widely used in contemporary youth culture and casual conversations.",I'm really feeling the positive energy here.,High
Wig,A reaction to something surprising or shocking.,My wig was snatched by that performance.,"Typically employed among peers during casual social gatherings or online discussions, expressing shared excitement or surprise at unexpected events, particularly performances or entertainments. Primarily used by urban youth and young adults in informal settings.",I was seriously impressed by that performance.,Medium
Yeet,To throw something with force; also used for excitement.,He yeeted the ball across the field.,"Typically employed among young adults during casual social gatherings or online conversations, expressing excitement or exuberance. Originates from various informal settings such as sports events, parties, or digital platforms like gaming chats and social media.",He hurled the ball across the field with force!,High
Zoomer,A member of Generation Z.,"As a Zoomer, she knows all the trends.","This term is commonly used among peers in casual social settings such as school, work, or online forums, to refer to members of Generation Z who are perceived as being familiar with contemporary trends and culture. The usage often conveys a sense of camaraderie and shared experience, although it can also be used ironically or mockingly by older generations. The demographic primarily utilizing this term is individuals born between the early 1990s and the mid-2000s.","As a Gen-Zer, she's right on top of the latest fads.",Medium
Boujee,Luxurious or fancy.,She's living the boujee life.,"Often used among young adults in casual settings to describe extravagant or indulgent lifestyles, typically associated with urban environments and social circles that value material wealth or luxury. Frequently employed to express admiration, envy, or mockery.",She's really living that high-end lifestyle.,High
Clout,Influence or power.,He's just doing it for the clout.,"Young adults in online or social media environments often employ this term during discussions about personal achievements or viral trends, demonstrating a desire for recognition and validation from peers. The usage may vary between positive affirmation to ironic or cynical remarks, reflecting diverse demographics.",He's merely doing it for the recognition/impact.,High
Deadass,Seriously; genuinely.,I'm deadass not joking.,"Typically employed in casual conversations among friends or peers expressing strong conviction and sincerity, often online or offline. Popular among younger generations and urban communities, especially in North America.",I'm seriously not kidding.,High
Drip,"Stylish or fashionable, especially in clothing.",Check out my drip today.,"Young adults and teens, particularly those engaged with fashion trends, frequently use the term during casual interactions, often on social media or in person at social gatherings, to express their sense of style or admiration for another's appearance.",Check out my swaggy style today.,High
Extra,"Over the top, excessive.",She's so extra with her outfits.,"Used in casual social settings among younger generations to expressively criticize or humorously comment on someone's over-the-top behavior or excessive display. Primarily prevalent in Western cultures, particularly within urban environments and digital communities.",She really goes all out with her wardrobe.,Medium
Finesse,To handle something skillfully.,He finessed his way into the club.,"Often used among young adults or urban communities in casual conversations to describe a clever, smooth maneuver or success story, particularly in social settings such as parties or gatherings. The sentiment is generally positive and celebratory, although it can also imply an element of deceit depending on the context.",He smoothly managed to get into the club.,Medium
Ghosting,Suddenly cutting off all communication with someone.,He ghosted me after our date.,"Typically used in informal settings among young adults or millennials when discussing personal relationships, particularly online dating contexts, to describe a sudden and unexplained end to communication.",He disappeared after our date without a trace.,High
Hits Different,Something that resonates on a deep level.,That song hits different.,"This term is often employed among peers during leisure activities or shared music experiences, expressing a sense of profound connection or unique appreciation for the music. It's particularly prevalent within younger demographics and informal settings.",That song strikes a chord in a unique way.,High
JOMO,Joy Of Missing Out.,I'm all about JOMO these days.,"In casual social settings, particularly among young adults and digital natives, the sentiment expresses a preference for personal well-being over attending or participating in every social event, often in response to the constant pressure of staying connected online.",I'm really embracing the pleasure of not keeping up lately.,Medium
Living Rent-Free,Taking up a lot of mental space.,She's living rent-free in my mind.,"Typically used in casual conversations between young adults or peers, often referring to someone who persistently occupies one's thoughts, particularly when the person is causing distress or annoyance.",She's really taking up a lot of mental real estate in here.,High
Main Character,Acting like the main character in life.,She's totally giving main character vibes.,"Typically utilized among peers during casual social gatherings, often to humorously comment on an individual exhibiting excessive self-focus or dramatics. The demographic ranges from young adults to millennials, particularly in informal settings such as parties, group chats, and online forums.",She's absolutely acting like the star of her own life drama.,Medium
Normalize,Make something the norm.,We need to normalize self-care.,"In contemporary discussions, particularly within wellness and mental health communities, this sentiment is often expressed to advocate for prioritizing personal care as a societal expectation. It's predominantly used among young adults and millennials who value open dialogues about self-improvement and emotional wellbeing.",Let's make self-care a regular thing.,High
Oof,An expression of sympathy.,"Oof, that must have hurt.","Casual, friendly settings often see this phrase used to express empathy or acknowledgement of another's discomfort or pain. It is prevalent among peers and acquaintances, particularly in digital communication platforms.",That really seems painful.,High
Pressed,Angry or annoyed.,He's so pressed about the situation.,"Often utilized among friends or peers in casual conversations, typically when discussing frustrating or upsetting circumstances, particularly within urban, youth-oriented demographics. The sentiment expressed is one of anger or annoyance.",He's really worked up over the circumstance.,Medium
Resonate,Something that deeply connects or makes sense.,That quote really resonates with me.,"Typically expressed during personal conversations or online discussions among diverse age groups and communities, often indicating a shared sentiment or connection to an idea or experience.",That quote deeply connects with me.,Medium
Shooketh,Extremely shocked.,I am shooketh by that twist.,"This slang term is frequently employed among younger generations in casual settings, particularly when discussing unexpected or shocking events. It's common in digital communication platforms and face-to-face interactions with peers, often signaling shared surprise or astonishment. The usage is predominantly informal.",I'm absolutely floored by that twist.,Medium
Swerve,To avoid or move away from something.,I had to swerve to avoid the drama.,"Typically employed during lively discussions or heated situations among young adults and urban communities, often conveying a sense of urgency or escape from unwanted encounters.",I needed to steer clear of the fuss.,Medium
Tight,Angry or frustrated.,He's tight about what happened.,"Primarily used among friends or peers during casual conversations, often referring to a situation that caused distress or frustration. Typically employed by individuals aged 16-30 in informal settings such as parties, social gatherings, or online chats.",He's pretty upset about what took place.,Medium
Unbothered,Not caring; unaffected.,She's completely unbothered by the hate.,"Generally employed among contemporary, youthful demographics in casual conversations, often to express indifference towards negativity or conflicts, especially on social media platforms.",She doesn't let the hate bother her at all.,High
Wavy,Cool or trendy.,That outfit is wavy.,"Typically used among friends or peers in modern, casual social settings to express admiration for something trendy or fashionable, often associated with younger demographics.",That look is rad.,Medium
Whip,Car.,Check out my new whip.,"This term is commonly used among young adults or urban communities during casual conversations, often to show off a new acquisition or express excitement, particularly in social settings such as gatherings or online platforms. The sentiment behind the usage tends to be positive and boisterous.",Check out my fresh set of wheels.,High
Wildin,Acting wild or out of control.,He was wildin' at the party.,"Often used among young adults during social gatherings such as parties or events, particularly within urban settings, to describe someone who is exhibiting energetic, exuberant, and sometimes unruly behavior. The sentiment behind the usage tends to be playful and lively, reflecting a youthful, carefree attitude.",He was going crazy at the party.,Medium
Wylin,Acting wild or out of control.,She's wylin out here.,"In casual social settings, often among younger generations, particularly those familiar with urban or street culture, this term is used to describe an individual behaving exuberantly, perhaps during parties or gatherings. The tone is generally positive and enthusiastic, reflecting excitement or admiration for the person's energetic behavior.",She's really cutting loose here.,Medium
Zooted,Under the influence.,He's zooted right now.,"Typically used among friends or acquaintances during social gatherings, often indicating a relaxed and festive atmosphere, particularly within urban youth cultures.",He's high as a kite at the moment.,Medium
Zoomies,"Sudden burst of energy, often used to describe pets.",My dog has the zoomies.,"In casual, pet-owning households or social media platforms, this term is often used to humorously describe an energetic and playful behavior exhibited by pets, particularly dogs. The sentiment behind the usage is lighthearted and playful. It tends to be popular among pet lovers of all ages and demographics.",My dog's got a burst of energy!,Medium
Vibe Check,Evaluating someone's mood or the atmosphere.,Let's do a vibe check.,"Typically used among peers in casual online settings, such as group chats or video calls, during moments of uncertainty or transition to assess and maintain a positive atmosphere. Predominantly used by younger generations (millennials and Gen Z).",Let's take a mood read.,High
Spill the Tea,To share gossip or the latest news.,"Come on, spill the tea.","In casual, informal settings, particularly among friends or online communities, this phrase is often used to express curiosity and eagerness for juicy updates or gossip. The usage can be found in various age groups, but it's more prevalent among younger generations.","Alright, fill me in on the latest.",High
Big Yikes,Something extremely embarrassing or cringeworthy.,That was a big yikes moment.,"Typically utilized among peers during online interactions or casual gatherings, often while discussing awkward or cringeworthy situations, particularly those observed on social media. Popular among younger generations and internet-savvy individuals.",That was quite an awkward/cringy moment.,High
Boujee,Luxurious or fancy.,Living the boujee life.,"Typically expressed among young adults, often within urban social circles, during celebrations or discussions about lavish lifestyles and luxury consumption. The sentiment is generally positive but can also carry undertones of envy or aspiration.",Leading a lavish lifestyle.,High
Bodega,"A small grocery store, typically in an urban area.",I'm heading to the bodega.,"Typically utilized in urban settings by young adults, often in casual conversations about daily errands or quick food stops, expressing a sense of familiarity and local culture.",Heading over to the corner shop.,Medium
Gassed Up,Feeling excited or confident.,I'm so gassed up for the concert.,"Young adults or teens at a music event, expressing enthusiasm and anticipation about an upcoming performance, primarily in casual settings among friends.",I'm seriously pumped for the concert!,Medium
Swerve,To avoid or dodge something.,She had to swerve that awkward conversation.,"Typically used among peers in casual social settings or online forums, particularly by younger demographics, to express the need to avoid an uncomfortable situation or topic.",She had to steer clear of that uncomfortable discussion.,Medium
Tight,Angry or frustrated.,Why are you so tight today?,"Used casually among friends or peers, typically in an informal setting such as a hangout spot or online chat, expressing frustration or irritation. Primarily popular among younger demographics and urban communities.",What's got you in such a bad mood today?,Medium
Drip,Stylish or fashionable.,Check out my drip.,"Young people, particularly within urban communities, often use this term in social settings such as parties or online platforms to express their sense of style and individuality. The sentiment is generally positive and confident, with a focus on self-expression and fashion awareness. It's predominantly popular among younger demographics.",Check out my swag.,High
Facts,Used to agree with something true.,That's facts.,"Hip-hop and urban communities often use ""that's facts"" during casual conversations to affirm truth or agreement, particularly among peers, online, or at social gatherings.",Absolutely right!,High
Fire,Really good or excellent.,That song is fire.,"Youth gatherings, such as parties or hangouts, frequently use this term to express enthusiasm for a particularly enjoyable song or activity, indicating a positive and energetic sentiment. The term has gained popularity among diverse demographics, but is more commonly used by younger generations in informal settings.",That song is top-notch.,High
Hypebeast,"Someone obsessed with fashion, especially streetwear.",He's such a hypebeast.,"Typically used among young adults in urban settings discussing fashion trends, often carrying a tone of admiration or derision, particularly within peer groups interested in streetwear culture.","He's really into fashion trends, especially streetwear.",High
Keep it 100,To be honest and truthful.,I'm just keeping it 100 with you.,"Typically used among peers in casual settings to express candidness and honesty, often among young adults and urban communities. Often employed in dialogues discussing sensitive topics or difficult truths.",I'm being straight-up honest with you.,High
Lit,"Exciting, fun, or excellent.",That party was lit.,"Typically utilized among peers during lively social gatherings or when discussing exciting events, especially among younger demographics.",That party was a blast!,High
No Cap,No lie; truth.,"That's the best movie, no cap.","Typically used among peers, especially online, to emphasize truthfulness and authenticity during casual discussions about personal opinions or preferences. Often found in conversations surrounding entertainment, sports, or lifestyle choices. Primarily popular with young adults and urban demographics, particularly those who engage in digital culture.","That's honestly the best movie, for real.",High
Plug,Someone who can supply something needed.,He's the plug for all the best snacks.,"Typically employed within casual friend groups to denote a reliable resource for acquiring desired items, often in urban settings, particularly among younger demographics, signifying camaraderie and mutual aid.",He's always got the hook-up on the top treats.,Medium
Salty,Bitter or upset.,Why are you so salty?,"Typically expressed online or in casual settings among younger demographics during heated discussions, often reflecting frustration or resentment.",Why are you feeling so bitter?,Medium
Slay,To do something exceptionally well.,You slayed that presentation.,"Used among friends or colleagues during social gatherings or work settings to praise a peer's outstanding performance, such as delivering an impressive presentation or achieving a significant accomplishment. This term is predominantly popular in youth and young adult cultures, especially those that appreciate confidence and charisma.",Nailed that presentation!,High
Sneak Diss,A subtle or indirect insult.,Was that a sneak diss?,"Usually employed in casual conversations among young adults or peers, often in social settings such as parties or online chats, when one person subtly criticizes another in a playful manner to assert dominance or wit.",Was that a veiled jibe?,Medium
Stay Woke,"Stay aware, especially of social issues.",Stay woke about what's happening.,"Primarily used in contemporary online discussions and activist communities to emphasize awareness of social and political issues, particularly those pertaining to race, class, and gender. It is often employed among younger generations, particularly in urban settings, carrying a tone of vigilance and social consciousness.",Keep your eyes open to what's going on.,High
Thicc,Describing someone with a curvy figure.,She's so thicc.,"In informal, online settings, particularly social media platforms or chat forums, predominantly among younger demographics, this term is often used to express admiration or appreciation towards an individual perceived as having a curvy figure. The tone tends to be playful and casual.",She's got a lovely curvaceous figure.,High
Vibe,The mood or atmosphere.,I love the vibe here.,"Young adults or millennials often use this expression during social gatherings or leisure activities to describe an enjoyable, lively, and upbeat atmosphere, particularly in casual settings such as parties, music festivals, or creative workshops.",I really dig the ambiance here.,High
Wild,Crazy or out of control.,That party was wild.,"Typically used among friends or acquaintances during social gatherings to describe an event's energetic atmosphere and unpredictability, especially when it exceeds expectations. Often heard at nightlife venues such as clubs, bars, or parties, particularly those featuring live music or dancing. Most prevalent among younger adults and urban populations.",That party was absolutely bonkers.,High
Woke,Being aware of social issues.,"Stay woke, everyone.","Generally used among progressive or activist communities, often in online discussions about social justice issues. The sentiment is one of awareness and engagement with ongoing socio-political matters, particularly those related to racial inequality and police brutality. Primarily popular among younger, educated individuals within urban settings.","Stay informed on social issues, everybody.",High
