Slang,Description,Example,Informal_Text_Without_Slang,Popularity
Bop,A song that's really good.,That new track is a bop.,That fresh tune is a real humdinger.,Medium
Bounce,To leave or exit.,"I'm bouncing, see you later.","I've got to split, catch you soon.",Medium
Cancelled,Publicly denounced and rejected.,She got cancelled after that post.,She was publicly denounced following that post.,High
Chill,Relaxed or easy-going.,I'm just chilling today.,I'm taking it easy today.,High
Cringe,Embarrassing or awkward.,That video was cringe.,That video was mortifyingly awkward.,High
DM,Direct Message on social media.,I'll DM you the details.,Send me a private message with the details.,High
Dope,Cool or excellent.,That jacket is dope.,That jacket is quite cool.,High
Flex,To show off or boast.,He's flexing his new phone.,He's flaunting his fresh mobile device.,High
GOAT,Greatest Of All Time.,Jordan is the GOAT.,Jordan is the greatest of all time.,High
High-Key,Emphatically or openly.,I'm high-key excited for this.,I am genuinely thrilled about this.,High
Hype,Intense excitement.,The hype is real.,The excitement's genuine.,High
Karen,Entitled or demanding woman.,Don't be such a Karen.,"Don't act so entitled, please.",High
L,Loss or failure.,We took the L on that one.,We struck out on that one.,High
Noob,Newbie or beginner.,He's such a noob at this game.,He's really new to this game.,Medium
Oof,An expression of sympathy.,"Oof, that must have hurt.",That certainly sounds painful.,High
Periodt,Used to emphasize the end of a statement.,"And that's the truth, periodt.","And that's the absolute truth, for sure.",High
Receipts,Proof or evidence.,Show me the receipts for your claims.,Hand over the evidence to back up your statements.,High
Shade,Subtle insult.,She's throwing shade at her ex.,She's subtly criticizing her ex.,High
Simp,Someone who does too much for someone they like.,He's such a simp for her.,He really goes out of his way for her.,High
Slaps,Really good.,This beat slaps.,This beat rocks hard.,High
Spill,Reveal the truth.,"Spill the tea, what happened?","Dish the dirt, what went down?",High
Stan,Obsessive fan.,I'm a stan for that band.,I'm truly devoted to that band.,High
Sus,Suspicious or questionable.,That sounds sus to me.,That seems fishy to me.,High
Thirsty,Desperate for attention or affection.,He's so thirsty for likes.,He's really craving attention.,High
Vibes,Good energy.,I'm loving the vibes here.,I'm really feeling the positive energy here.,High
Wig,A reaction to something surprising or shocking.,My wig was snatched by that performance.,I was seriously impressed by that performance.,Medium
Yeet,To throw something with force; also used for excitement.,He yeeted the ball across the field.,He hurled the ball across the field with force!,High
Zoomer,A member of Generation Z.,"As a Zoomer, she knows all the trends.","As a Gen-Zer, she's right on top of the latest fads.",Medium
Boujee,Luxurious or fancy.,She's living the boujee life.,She's really living that high-end lifestyle.,High
Clout,Influence or power.,He's just doing it for the clout.,He's merely doing it for the recognition/impact.,High
Deadass,Seriously; genuinely.,I'm deadass not joking.,I'm seriously not kidding.,High
Drip,"Stylish or fashionable, especially in clothing.",Check out my drip today.,Check out my swaggy style today.,High
Extra,"Over the top, excessive.",She's so extra with her outfits.,She really goes all out with her wardrobe.,Medium
Finesse,To handle something skillfully.,He finessed his way into the club.,He smoothly managed to get into the club.,Medium
Ghosting,Suddenly cutting off all communication with someone.,He ghosted me after our date.,He disappeared after our date without a trace.,High
Hits Different,Something that resonates on a deep level.,That song hits different.,That song strikes a chord in a unique way.,High
JOMO,Joy Of Missing Out.,I'm all about JOMO these days.,I'm really embracing the pleasure of not keeping up lately.,Medium
Living Rent-Free,Taking up a lot of mental space.,She's living rent-free in my mind.,She's really taking up a lot of mental real estate in here.,High
