Slang,Description,Example,Context,Informal_Text_Without_Slang
"""hella""",Intensifier meaning extremely or very,I'm hella drained today.,"Typically expressed in casual conversations, particularly among younger generations or internet communities, to emphasize intensity, often signifying fatigue or exhaustion.",I'm feeling really tired today.
"""mad""","Angry or frustrated, often informally.",I'm mad tired today 'cause I pulled an all-nighter hitting the books.,"Typically expressed among peers or casual acquaintances, often during leisure activities or discussions about daily life challenges, to demonstrate frustration or annoyance. Most common among younger generations and informal settings.",I'm really tired today because I stayed up late studying.
Chillin',"Casually relaxing, informally enjoying leisure","Fr, I’m just chillin’ at home tonight, no cap.","Typically utilized among friends or peers during casual social interactions, especially online, to express a laid-back attitude and leisurely evening at home. Younger demographics frequently employ this term in an informal setting, often with a relaxed and nonchalant tone.","Yeah, I think I'm going to stay in tonight and relax."
Chillin',"Casual relaxation, typically with social interaction.","Yo, I'm just chillin' at my place and vibing to some tunes.","In informal settings among friends or peers, often during leisure time at home or social gatherings, typically expressing a laid-back and enjoyable mood. Widely popular in youth culture and casual communication, particularly within the younger demographic.","Hey, I'm just relaxing at home and listening to some music."
vibing,"Enjoying oneself in a relaxed, positive manner; having a good vibe.","Yo, I'm just chillin' at my place and vibing to some tunes.","In casual social settings, often among friends or peers, typically used to express relaxation and enjoyment during leisure activities such as listening to music or hanging out. Popular in various age groups, particularly among young adults and teenagers.","Hey, I'm just relaxing at home and listening to some music."
OOTD,Outfit of the day,"OOTD, just vibing with the crew today, no cap.","Typically exchanged among young adults on social media platforms, expressing enthusiasm for a casual gathering or outing with friends, showcasing their personal style and mood.",I'm just planning to hang out with friends this afternoon.
vibing,Positive energy or atmosphere,"OOTD, just vibing with the crew today, no cap.","In informal social settings among youth or young adults, often when discussing leisure activities or spending time together, especially within online communities or urban environments. Used to express a relaxed and upbeat atmosphere, fostering camaraderie and positive energy.",I'm just planning to hang out with friends this afternoon.
no cap,A colloquial term for complete honesty or authenticity.,"OOTD, just vibing with the crew today, no cap.","Online or face-to-face discussions among young adults, particularly within urban communities. Expresses casual, laid-back social interactions, often shared on social media platforms to present relatable and authentic lifestyles.",I'm just planning to hang out with friends this afternoon.
Z's,Sleep; short form in informal speech.,"Hey, I'm so exhausted today 'cause I didn't catch enough Z's last night.","Typically utilized in casual conversations among peers or friends, often describing sleep deprivation. Most common during late hours when fatigue is felt, such as upon waking up or starting work after a sleepless night. Popular across diverse age groups and demographics, particularly young adults and professionals.","Hey, I'm really tired today because I didn't sleep well last night."
about,Casual language for certainty or strong commitment,"Yo, I'm about to snag some coffee. You in?","In casual, youth-oriented social settings, such as hangouts or online chats, this expression is commonly used to express immediate plans or strong commitments with a friendly, informal tone. It's popular among diverse age groups and demographics who prefer more relaxed language.","Hey, I'm going to grab some coffee. Want to join me?"
about,Informal language used for expressing enthusiasm or emphasis in action or possession.,"Yo, I’m about to snag some java. You tryna peep a sip?","Typically used among peers during casual conversations to convey excitement or anticipation for an upcoming event or action, often associated with urban or youth cultures.","Hey, I’m going to grab some coffee. Do you want anything?"
tryna,"A contraction of ""trying,"" informally expressing intent or effort.","Yo, I’m about to snag some java. You tryna peep a sip?","In casual, friendly interactions among peers or acquaintances, often in youth or urban settings, typically discussing plans or inviting others to participate in activities. The tone is usually relaxed and informal.","Hey, I’m going to grab some coffee. Do you want anything?"
all set,Ready and prepared; all in order.,"Yo, just wrapped my homework and I'm all set to chill.","Young adults or teenagers gather in an informal setting, such as a group chat or casual get-together, using the term to express readiness for leisure activities with positive sentiment, particularly after finishing tasks or responsibilities.","Hey, I just finished my homework and I'm ready to hang out."
arvo,"Afternoon, informal","Yo, you got time to chill tomorrow arvo?","Used in casual conversations among friends or peers to propose leisure activities during late afternoon hours, typically indicative of a relaxed and friendly social setting. Most common among younger generations, particularly in Australian and New Zealand English-speaking communities.","Hey, are you free to hang out tomorrow afternoon?"
beat,Extremely exhausted,"I'm so beat today, I need a coffee boost.","This term is commonly employed among peers in casual settings, such as at work or school, to express feelings of physical exhaustion. It can also be used among friends in social gatherings, indicating a tiring day. The demographic range includes adults and young adults who engage in informal communication.","I'm really tired today, I think I need a coffee."
beat,Informal term meaning extremely tired or exhausted.,I'm hella beat today and just wanna chill at home.,"In casual social settings among younger demographics, often used to express personal fatigue or exhaustion after a long day or intense activity. Typically found in informal conversations among friends, online forums, and social media platforms. The sentiment is generally laid-back and relaxed, reflecting a desire for rest and relaxation.",I'm just really tired today and want to stay home.
chill,"Relaxing, informally; often referring to spending leisure time.",I'm hella beat today and just wanna chill at home.,"Typically used among friends or peers when discussing plans for leisurely activities, often in casual settings such as homes or social gatherings. The tone is generally relaxed and informal, with a focus on personal relaxation and downtime. Demographics range widely, but the term is particularly prevalent in younger populations.",I'm just really tired today and want to stay home.
beat,Exhausted (after intense activity),I'm super beat after grindin' all day.,"In informal settings, often among young adults or within urban communities, this expression is typically utilized post-exhausting physical or mental activities, such as work or play. The sentiment is one of tiredness and exhaustion. It can be found predominantly in casual conversations among peers.",I'm really tired after work today.
grind,"Intense, persistent work or activity",I'm super beat after grindin' all day.,"Informal conversations among young adults or peers, especially those engaged in demanding activities such as work, study, or creative pursuits, expressing fatigue or hard work.",I'm really tired after work today.
blazing,"Extremely hot or lively, commonly used informally.","No cap, it's blazing today!","In casual social settings, often among friends or peers, this term is used to express intense heat or excitement, typically in a positive or enthusiastic tone. Its usage spans various age groups and demographics, particularly those who prefer informal language.",I can't believe how hot it is today!
bloque,Blocking social engagements (informal),"I'm just gonna bloque with my squad this weekend, no cap.","Typically used among friends or peer groups in casual settings to plan a social gathering, often indicating an intentional withdrawal from other obligations. This term is popular among younger demographics, particularly those who use informal language in digital communication. The tone is generally upbeat and social.",I'm planning to chill with my friends this weekend.
